,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"pairwise_fold_drops[Alpha, Alpha]",0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,
"pairwise_fold_drops[Alpha, BA.1]",2.686,0.213,2.288,3.089,0.001,0.001,39295.0,25596.0,1.0
"pairwise_fold_drops[Alpha, BA.5]",2.761,0.246,2.298,3.229,0.001,0.001,41218.0,24464.0,1.0
"pairwise_fold_drops[Alpha, Beta]",0.774,0.259,0.3,1.282,0.001,0.001,41112.0,22677.0,1.0
"pairwise_fold_drops[Alpha, Delta]",0.845,0.312,0.278,1.458,0.002,0.001,38864.0,24517.0,1.0
"pairwise_fold_drops[Alpha, XBB.1.5]",5.887,0.257,5.415,6.38,0.001,0.001,40034.0,24793.0,1.0
"pairwise_fold_drops[BA.1, Alpha]",-2.686,0.213,-3.089,-2.288,0.001,0.001,39295.0,25596.0,1.0
"pairwise_fold_drops[BA.1, BA.1]",0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,
"pairwise_fold_drops[BA.1, BA.5]",0.075,0.228,-0.354,0.508,0.001,0.001,41715.0,23575.0,1.0
"pairwise_fold_drops[BA.1, Beta]",-1.912,0.252,-2.398,-1.445,0.001,0.001,38989.0,24469.0,1.0
"pairwise_fold_drops[BA.1, Delta]",-1.84,0.299,-2.414,-1.283,0.001,0.001,39932.0,25109.0,1.0
"pairwise_fold_drops[BA.1, XBB.1.5]",3.201,0.242,2.755,3.67,0.001,0.001,40768.0,24503.0,1.0
"pairwise_fold_drops[BA.5, Alpha]",-2.761,0.246,-3.229,-2.298,0.001,0.001,41218.0,24464.0,1.0
"pairwise_fold_drops[BA.5, BA.1]",-0.075,0.228,-0.508,0.354,0.001,0.001,41715.0,23575.0,1.0
"pairwise_fold_drops[BA.5, BA.5]",0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,
"pairwise_fold_drops[BA.5, Beta]",-1.987,0.281,-2.512,-1.454,0.001,0.001,40388.0,23735.0,1.0
"pairwise_fold_drops[BA.5, Delta]",-1.915,0.325,-2.523,-1.293,0.002,0.001,38402.0,24264.0,1.0
"pairwise_fold_drops[BA.5, XBB.1.5]",3.126,0.271,2.623,3.651,0.001,0.001,42156.0,23241.0,1.0
"pairwise_fold_drops[Beta, Alpha]",-0.774,0.259,-1.282,-0.3,0.001,0.001,41112.0,22677.0,1.0
"pairwise_fold_drops[Beta, BA.1]",1.912,0.252,1.445,2.398,0.001,0.001,38989.0,24469.0,1.0
"pairwise_fold_drops[Beta, BA.5]",1.987,0.281,1.454,2.512,0.001,0.001,40388.0,23735.0,1.0
"pairwise_fold_drops[Beta, Beta]",0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,
"pairwise_fold_drops[Beta, Delta]",0.072,0.339,-0.568,0.713,0.002,0.002,38809.0,24934.0,1.0
"pairwise_fold_drops[Beta, XBB.1.5]",5.113,0.29,4.586,5.684,0.001,0.001,41488.0,23444.0,1.0
"pairwise_fold_drops[Delta, Alpha]",-0.845,0.312,-1.458,-0.278,0.002,0.001,38864.0,24517.0,1.0
"pairwise_fold_drops[Delta, BA.1]",1.84,0.299,1.283,2.414,0.001,0.001,39932.0,25109.0,1.0
"pairwise_fold_drops[Delta, BA.5]",1.915,0.325,1.293,2.523,0.002,0.001,38402.0,24264.0,1.0
"pairwise_fold_drops[Delta, Beta]",-0.072,0.339,-0.713,0.568,0.002,0.002,38809.0,24934.0,1.0
"pairwise_fold_drops[Delta, Delta]",0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,
"pairwise_fold_drops[Delta, XBB.1.5]",5.041,0.335,4.417,5.681,0.002,0.001,37911.0,23514.0,1.0
"pairwise_fold_drops[XBB.1.5, Alpha]",-5.887,0.257,-6.38,-5.415,0.001,0.001,40034.0,24793.0,1.0
"pairwise_fold_drops[XBB.1.5, BA.1]",-3.201,0.242,-3.67,-2.755,0.001,0.001,40768.0,24503.0,1.0
"pairwise_fold_drops[XBB.1.5, BA.5]",-3.126,0.271,-3.651,-2.623,0.001,0.001,42156.0,23241.0,1.0
"pairwise_fold_drops[XBB.1.5, Beta]",-5.113,0.29,-5.684,-4.586,0.001,0.001,41488.0,23444.0,1.0
"pairwise_fold_drops[XBB.1.5, Delta]",-5.041,0.335,-5.681,-4.417,0.002,0.001,37911.0,23514.0,1.0
"pairwise_fold_drops[XBB.1.5, XBB.1.5]",0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,
